date,max_temp,min_temp,avg_temp
2026-02-27,26.7,25.6,26.15
2026-02-28,27.0,24.6,25.8
2026-03-01,26.8,24.7,25.75
2026-03-02,27.3,25.0,26.15
2026-03-03,28.3,25.9,27.1
2026-03-04,29.1,26.7,27.9
2026-03-05,29.7,27.4,28.549999999999997
2026-03-06,28.9,26.6,27.75
